CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,STARLINK-1246,2020-012BK,EARTH,TEME,UTC,SGP4,2021-10-31T20:08:54.902976,15.06407173,0.0001456,53.0562,343.74,92.9376,267.1779,0,U,45235,999,9523,0.000091418,0.00001081,0,6925.327,95.592,548.2,546.183,PAYLOAD,LARGE,US,2020,AFETR,,3194950,188604485,0 STARLINK-1246,1 45235U 20012BK  21304.83952434  .00001081  00000-0  91418-4 0  9999,2 45235  53.0562 343.7400 0001456  92.9376 267.1779 15.06407173 95237
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T15:06:13,18 SPCS,STARLINK-1247,2020-012BL,EARTH,TEME,UTC,SGP4,2021-10-31T10:09:08.671392,15.06404409,0.0001447,53.0541,305.6079,76.4425,283.6725,0,U,45236,999,9477,0.00010419,0.00001271,0,6925.335,95.592,548.202,546.198,PAYLOAD,LARGE,US,2020,AFETR,,3194191,188545082,0 STARLINK-1247,1 45236U 20012BL  21304.42301703  .00001271  00000-0  10419-3 0  9994,2 45236  53.0541 305.6079 0001447  76.4425 283.6725 15.06404409 94777
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,STARLINK-1270,2020-012BM,EARTH,TEME,UTC,SGP4,2021-10-31T17:03:09.023040,15.06398822,0.0001304,53.0556,304.3229,77.8882,282.2253,0,U,45237,999,9575,0.000093901,0.00001117,0,6925.352,95.592,548.12,546.314,PAYLOAD,LARGE,US,2020,AFETR,,3194950,188605487,0 STARLINK-1270,1 45237U 20012BM  21304.71052110  .00001117  00000-0  93901-4 0  9999,2 45237  53.0556 304.3229 0001304  77.8882 282.2253 15.06398822 95752
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T18:07:15,18 SPCS,SL-12 DEB,2009-070S,EARTH,TEME,UTC,SGP4,2021-10-31T04:01:41.932416,6.53018877,0.4403769,63.9402,52.2894,8.8758,356.9238,0,U,45243,999,3277,0.035107,0.00090315,0,12090.697,220.514,11037.026,388.099,DEBRIS,SMALL,CIS,2009,TTMTR,,3194431,188570842,0 SL-12 DEB,1 45243U 09070S   21304.16784644  .00090315  00000-0  35107-1 0  9999,2 45243  63.9402  52.2894 4403769   8.8758 356.9238  6.53018877 32773
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,JCSAT 17,2020-013A,EARTH,TEME,UTC,SGP4,2021-10-31T11:13:40.523232,1.00270696,0.0003298,6.3814,344.5418,233.7832,126.0829,0,U,45245,999,629,0,-0.00000317,0,42165.037,1436.113,35800.808,35772.996,PAYLOAD,LARGE,JPN,2020,FRGUI,,3194950,188604235,0 JCSAT 17,1 45245U 20013A   21304.46783013 -.00000317  00000-0  00000-0 0  9990,2 45245   6.3814 344.5418 0003298 233.7832 126.0829  1.00270696  6299
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,GEO-KOMPSAT-2B,2020-013B,EARTH,TEME,UTC,SGP4,2021-10-31T19:33:17.899200,1.00267935,0.0000998,0.0249,97.7179,35.3358,328.8657,0,U,45246,999,633,0,-0.00000337,0,42165.811,1436.152,35791.884,35783.468,PAYLOAD,LARGE,SKOR,2020,FRGUI,,3194950,188604987,0 GEO-KOMPSAT-2B,1 45246U 20013B   21304.81479050 -.00000337  00000-0  00000-0 0  9995,2 45246   0.0249  97.7179 0000998  35.3358 328.8657  1.00267935  6335
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:56:12,18 SPCS,ARIANE 5 DEB (SYLDA),2020-013C,EARTH,TEME,UTC,SGP4,2021-10-31T16:50:29.494464,2.40050273,0.7173392,6.0502,41.3954,346.9453,1.5529,0,U,45247,999,1453,0.0095647,0.0001981,0,23561.361,599.874,34084.714,281.738,DEBRIS,LARGE,FR,2020,FRGUI,,3195282,188615835,0 ARIANE 5 DEB (SYLDA),1 45247U 20013C   21304.70173026  .00019810  00000-0  95647-2 0  9996,2 45247   6.0502  41.3954 7173392 346.9453   1.5529  2.40050273 14537
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,ARIANE 5 R/B,2020-013D,EARTH,TEME,UTC,SGP4,2021-10-31T15:33:14.301216,2.3139901,0.7248846,5.8397,47.4728,337.036,2.6497,0,U,45248,999,1432,0.0010139,0.00002269,0,24145.017,622.302,35269.232,264.531,ROCKET BODY,LARGE,FR,2020,FRGUI,,3194950,188604486,0 ARIANE 5 R/B,1 45248U 20013D   21304.64808219  .00002269  00000-0  10139-2 0  9992,2 45248   5.8397  47.4728 7248846 337.0360   2.6497  2.31399010 14326
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,XJS C,2020-014A,EARTH,TEME,UTC,SGP4,2021-10-31T21:09:18.506016,15.30968746,0.0005841,35.0137,105.2294,133.4571,351.7737,0,U,45249,999,9497,0.00020843,0.00006367,0,6851.058,94.058,476.924,468.921,PAYLOAD,LARGE,PRC,2020,XSC,,3194950,188604736,0 XJS C,1 45249U 20014A   21304.88146419  .00006367  00000-0  20843-3 0  9994,2 45249  35.0137 105.2294 0005841 133.4571 351.7737 15.30968746 94971
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,XJS D,2020-014B,EARTH,TEME,UTC,SGP4,2021-10-31T21:09:07.101216,15.30961234,0.0006582,35.014,105.2542,131.1164,354.0394,0,U,45250,999,9497,0.00016049,0.00004891,0,6851.08,94.059,477.454,468.436,PAYLOAD,LARGE,PRC,2020,XSC,,3194950,188605488,0 XJS D,1 45250U 20014B   21304.88133219  .00004891  00000-0  16049-3 0  9993,2 45250  35.0140 105.2542 0006582 131.1164 354.0394 15.30961234 94979
